Folder,gap_mm,TP,FP,FN,Precision,Recall,F1-Score
Azimutal_tests,30,2,1,0,0.667,1,0.8
Azimutal_tests,40,2,1,0,0.667,1,0.8
Azimutal_tests,50,2,1,0,0.667,1,0.8
Azimutal_tests,60,2,0,0,1,1,1
Azimutal_tests,70,2,0,0,1,1,1
Azimutal_tests,80,2,0,0,1,1,1
Azimutal_tests,90,2,0,0,1,1,1
Azimutal_tests,100,2,0,0,1,1,1
Azimutal_tests,110,2,0,0,1,1,1
Azimutal_tests,120,2,0,0,1,1,1
Azimutal_tests,130,2,0,0,1,1,1
Azimutal_tests,140,2,0,0,1,1,1
Azimutal_tests,150,2,0,0,1,1,1
Azimutal_tests,160,2,0,0,1,1,1
Azimutal_tests,170,2,0,0,1,1,1
Azimutal_tests,180,2,0,0,1,1,1
Azimutal_tests,190,2,0,0,1,1,1
Azimutal_tests,[TOTAL],32,3,0,0.914,1,0.955
Folder,gap_m,TP,FP,FN,Precision,Recall,F1-Score
Radial_tests,100,0,0,2,0,0,0
Radial_tests,10,2,0,0,0.667,1,0.8
Radial_tests,20,2,0,0,0.667,1,0.8
Radial_tests,30,2,0,0,1,1,1
Radial_tests,40,1,1,1,0.5,0.5,0.5
Radial_tests,50,1,1,1,0.5,0.5,0.5
Radial_tests,60,0,0,2,0,0,0
Radial_tests,70,0,1,2,0,0,0
Radial_tests,80,0,0,2,0,0,0
Radial_tests,90,0,0,2,0,0,0
Radial_tests,[TOTAL],8,5,12,0.615,0.4,0.485
Trajectory_tests,0,0,0,1,0,0,0
Trajectory_tests,1,0,0,1,0,0,0
Trajectory_tests,10,0,1,1,0,0,0
Trajectory_tests,11,0,2,1,0,0,0
Trajectory_tests,12,0,0,1,0,0,0
Trajectory_tests,13,1,1,0,0.5,1,0.667
Trajectory_tests,14,0,2,1,0,0,0
Trajectory_tests,15,0,0,1,0,0,0
Trajectory_tests,16,0,1,1,0,0,0
Trajectory_tests,17,0,1,1,0,0,0
Trajectory_tests,18,0,0,1,0,0,0
Trajectory_tests,19,0,0,1,0,0,0
Trajectory_tests,2,0,0,1,0,0,0
Trajectory_tests,20,0,0,1,0,0,0
Trajectory_tests,21,0,0,1,0,0,0
Trajectory_tests,22,0,0,1,0,0,0
Trajectory_tests,23,0,1,1,0,0,0
Trajectory_tests,24,0,0,1,0,0,0
Trajectory_tests,25,0,0,1,0,0,0
Trajectory_tests,26,0,0,1,0,0,0
Trajectory_tests,27,0,0,1,0,0,0
Trajectory_tests,28,0,0,1,0,0,0
Trajectory_tests,29,0,0,1,0,0,0
Trajectory_tests,3,0,0,1,0,0,0
Trajectory_tests,4,0,0,1,0,0,0
Trajectory_tests,5,0,0,1,0,0,0
Trajectory_tests,6,0,0,1,0,0,0
Trajectory_tests,7,0,0,1,0,0,0
Trajectory_tests,8,0,0,1,0,0,0
Trajectory_tests,9,0,0,1,0,0,0
Trajectory_tests,[TOTAL],1,9,29,0.1,0.033,0.05
